% Model:              aplus_itmcp_2d.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jul 15 2024, 13:21
% Dimension:          1
% Nodes:              126
% Expressions:        1
% Description:        
% R                       8.6E-6[1/K] *( linproj_cp(T-293.15[K]) - intop_cp(linproj_cp(T-293.15[K])) ) (m)
0                         0
0.002                     8.360287590059441E-12
0.004                     1.692957914766571E-11
0.006                     4.2010184141472166E-11
0.008                     6.750668900875322E-11
0.01                      1.0922328894154341E-10
0.012                     1.5155749547243728E-10
0.014                     2.0974360468799274E-10
0.016                     2.687435463816105E-10
0.018000000000000002      3.43206305158412E-10
0.02                      4.186702046436716E-10
0.022                     5.091512147558043E-10
0.024                     6.008095440410972E-10
0.026000000000000002      7.069881431286995E-10
0.028                     8.14506992041527E-10
0.03                      9.360027319888506E-10
0.032                     1.0589892434677525E-9
0.034                     1.1953926987308592E-9
0.036000000000000004      1.3334165285940949E-9
0.038                     1.4842233136361269E-9
0.04                      1.6367490006467535E-9
0.042                     1.8013070014375404E-9
0.044                     1.967683490234636E-9
0.046                     2.1454668583440346E-9
0.048                     2.3251352764240144E-9
0.05                      2.5154856443372884E-9
0.052000000000000005      2.7077468329288613E-9
0.054                     2.9098560973239703E-9
0.056                     3.1138673186305415E-9
0.058                     3.326844908233999E-9
0.06                      3.541687687996468E-9
0.062                     3.764612958447993E-9
0.064                     3.98932874633117E-9
0.066                     4.221206603940953E-9
0.068                     4.454774667425534E-9
0.07                      4.694606435034361E-9
0.07200000000000001       4.935953165276911E-9
0.074                     5.182518100146726E-9
0.076                     5.430392140433424E-9
0.078                     5.682469098111158E-9
0.08                      5.93556467148069E-9
0.082                     6.191716091925618E-9
0.084                     6.448631245021475E-9
0.08600000000000001       6.707485104077379E-9
0.088                     6.966744568914662E-9
0.09                      7.226885177345978E-9
0.092                     7.486912842024358E-9
0.094                     7.746728737165985E-9
0.096                     8.005788486102677E-9
0.098                     8.263616796934188E-9
0.1                       8.51992073350666E-9
0.10200000000000001       8.774058454026815E-9
0.10400000000000001       9.025740380650913E-9
0.106                     9.274367539257961E-9
0.108                     9.519415794684224E-9
0.11                      9.76055979209508E-9
0.112                     9.996862431138803E-9
0.114                     1.0228529727065054E-8
0.116                     1.045398599129782E-8
0.11800000000000001       1.0674224988908061E-8
0.12                      1.0886624363293023E-8
0.122                     1.109325495832354E-8
0.124                     1.1290537896205727E-8
0.126                     1.1481811625921133E-8
0.128                     1.1661948918077236E-8
0.13                      1.1835857355327287E-8
0.132                     1.1996718168145461E-8
0.134                     1.215126561430305E-8
0.136                     1.2290991656773665E-8
0.138                     1.2424561116174302E-8
0.14                      1.2541689051382991E-8
0.14200000000000002       1.2653014095700405E-8
0.14400000000000002       1.2746553049930373E-8
0.146                     1.2834831329627435E-8
0.148                     1.2904591552811635E-8
0.15                      1.2969847383871082E-8
0.152                     1.301555446964163E-8
0.154                     1.3057453358277974E-8
0.156                     1.3079123623835458E-8
0.158                     1.3097759595931115E-8
0.16                      1.309708561320515E-8
0.162                     1.3094317779956357E-8
0.164                     1.30723236979868E-8
0.166                     1.304898824982742E-8
0.168                     1.30085803897577E-8
0.17                      1.29675970551292E-8
0.17200000000000001       NaN
0.17400000000000002       NaN
0.176                     NaN
0.178                     NaN
0.18                      NaN
0.182                     NaN
0.184                     NaN
0.186                     NaN
0.188                     NaN
0.19                      NaN
0.192                     NaN
0.194                     NaN
0.196                     NaN
0.198                     NaN
0.2                       NaN
0.202                     NaN
0.20400000000000001       NaN
0.20600000000000002       NaN
0.20800000000000002       NaN
0.21                      NaN
0.212                     NaN
0.214                     NaN
0.216                     NaN
0.218                     NaN
0.22                      NaN
0.222                     NaN
0.224                     NaN
0.226                     NaN
0.228                     NaN
0.23                      NaN
0.232                     NaN
0.234                     NaN
0.23600000000000002       NaN
0.23800000000000002       NaN
0.24                      NaN
0.242                     NaN
0.244                     NaN
0.246                     NaN
0.248                     NaN
0.25                      NaN
