% Model:              aplus_etm_erm_2d.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jul 15 2024, 13:37
% Dimension:          1
% Nodes:              126
% Expressions:        1
% Description:        
% R                       w-intop_itm(w) (m)
0                         0
0.002                     8.034125820252532E-12
0.004                     1.6269106174312717E-11
0.006                     4.037159469917846E-11
0.008                     6.487589638973435E-11
0.01                      1.0505091154220649E-10
0.012                     1.4582887566745884E-10
0.014                     2.020825300940695E-10
0.016                     2.591405315130332E-10
0.018000000000000002      3.3148112578670555E-10
0.02                      4.0482783564109637E-10
0.022                     4.932662792062669E-10
0.024                     5.82913071525111E-10
0.026000000000000002      6.874628318059282E-10
0.028                     7.934237258360341E-10
0.03                      9.141007289658693E-10
0.032                     1.0363922994131312E-9
0.034                     1.1732149757172333E-9
0.036000000000000004      1.3118563970688211E-9
0.038                     1.4648456960172424E-9
0.04                      1.6198587599093878E-9
0.042                     1.7890381784075996E-9
0.044                     1.9604473193151257E-9
0.046                     2.1458429007901728E-9
0.048                     2.333675193079559E-9
0.05                      2.535315513316869E-9
0.052000000000000005      2.73960065038191E-9
0.054                     2.957516766482182E-9
0.056                     3.178287017466573E-9
0.058                     3.4125124757618087E-9
0.06                      3.6498026763942323E-9
0.062                     3.900373427154473E-9
0.064                     4.154220888797893E-9
0.066                     4.421175193974034E-9
0.068                     4.691619585751116E-9
0.07                      4.974997827872861E-9
0.07200000000000001       5.262081041080547E-9
0.074                     5.561925821362027E-9
0.076                     5.865691898010557E-9
0.078                     6.182047399837506E-9
0.08                      6.502520593726449E-9
0.082                     6.835346863801367E-9
0.084                     7.1728178406937265E-9
0.08600000000000001       7.52207922719959E-9
0.088                     7.876536045153198E-9
0.09                      8.24227949004502E-9
0.092                     8.613772228427467E-9
0.094                     8.996044892104833E-9
0.096                     9.384623767841407E-9
0.098                     9.783472760360115E-9
0.1                       1.0189187632037704E-8
0.10200000000000001       1.0604659279362127E-8
0.10400000000000001       1.1027558792174567E-8
0.106                     1.1459697844984293E-8
0.108                     1.1899828476224168E-8
0.11                      1.2348677193024209E-8
0.112                     1.2806082149474629E-8
0.114                     1.3271679250271164E-8
0.116                     1.37463971665876E-8
0.11800000000000001       1.4228776567940755E-8
0.12                      1.4720839977897387E-8
0.122                     1.5220029356449036E-8
0.124                     1.572946290291677E-8
0.126                     1.6245481985901986E-8
0.128                     1.677230029292634E-8
0.13                      1.730515884390479E-8
0.132                     1.784936398348473E-8
0.134                     1.8399059407871842E-8
0.136                     1.8960637840248098E-8
0.138                     1.9527152291327538E-8
0.14                      2.010607112254125E-8
0.14200000000000002       2.0689367970272938E-8
0.14400000000000002       2.1285570286892122E-8
0.146                     2.1885589714027324E-8
0.148                     2.2498988115649906E-8
0.15                      2.3115640862418064E-8
0.152                     2.3746108794803084E-8
0.154                     2.4379267997113473E-8
0.156                     2.50266319558968E-8
0.158                     2.5676126628151072E-8
0.16                      2.6340150739262597E-8
0.162                     2.7005750331695995E-8
0.164                     2.7686098275678925E-8
0.166                     2.8367475174421125E-8
0.168                     2.9063939693296747E-8
0.17                      2.9760912783637543E-8
0.17200000000000001       NaN
0.17400000000000002       NaN
0.176                     NaN
0.178                     NaN
0.18                      NaN
0.182                     NaN
0.184                     NaN
0.186                     NaN
0.188                     NaN
0.19                      NaN
0.192                     NaN
0.194                     NaN
0.196                     NaN
0.198                     NaN
0.2                       NaN
0.202                     NaN
0.20400000000000001       NaN
0.20600000000000002       NaN
0.20800000000000002       NaN
0.21                      NaN
0.212                     NaN
0.214                     NaN
0.216                     NaN
0.218                     NaN
0.22                      NaN
0.222                     NaN
0.224                     NaN
0.226                     NaN
0.228                     NaN
0.23                      NaN
0.232                     NaN
0.234                     NaN
0.23600000000000002       NaN
0.23800000000000002       NaN
0.24                      NaN
0.242                     NaN
0.244                     NaN
0.246                     NaN
0.248                     NaN
0.25                      NaN
