% Model:              aplus_itmcp_2d.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jul 15 2024, 13:21
% Dimension:          1
% Nodes:              126
% Expressions:        1
% Description:        
% R                       w-intop_itm(w) (m)
0                         0
0.002                     8.78575058777914E-12
0.004                     1.7791150773353468E-11
0.006                     4.4148869184748616E-11
0.008                     7.094598081689605E-11
0.01                      1.1487942805838241E-10
0.012                     1.594721816215833E-10
0.014                     2.2098713077545702E-10
0.016                     2.8338154844883973E-10
0.018000000000000002      3.6248586799289294E-10
0.02                      4.4269016734150063E-10
0.022                     5.39394163758428E-10
0.024                     6.374190894336408E-10
0.026000000000000002      7.51735475961039E-10
0.028                     8.675942627795353E-10
0.03                      9.995380812051994E-10
0.032                     1.1332463838428321E-9
0.034                     1.2828350443881807E-9
0.036000000000000004      1.4344109764580664E-9
0.038                     1.601664272777078E-9
0.04                      1.7711284236974732E-9
0.042                     1.956068556827547E-9
0.044                     2.1434440135915252E-9
0.046                     2.3460955913318158E-9
0.048                     2.5514079361626445E-9
0.05                      2.7717979611731877E-9
0.052000000000000005      2.9950752533988914E-9
0.054                     3.233233076656576E-9
0.056                     3.474505809402374E-9
0.058                     3.73046311544927E-9
0.06                      3.989764187884758E-9
0.062                     4.263554914670814E-9
0.064                     4.540919541299997E-9
0.066                     4.832579767301685E-9
0.068                     5.128045371630235E-9
0.07                      5.437613260346571E-9
0.07200000000000001       5.751219361706124E-9
0.074                     6.078734862170087E-9
0.076                     6.410522827192019E-9
0.078                     6.75602765211058E-9
0.08                      7.10601722983365E-9
0.082                     7.469461065970242E-9
0.084                     7.837961771107139E-9
0.08600000000000001       8.219299143706353E-9
0.088                     8.606290597964733E-9
0.09                      9.00556505720683E-9
0.092                     9.411093802369407E-9
0.094                     9.828349333632883E-9
0.096                     1.0252462143454204E-8
0.098                     1.0687742521212597E-8
0.1                       1.1130485600154031E-8
0.10200000000000001       1.1583833570250323E-8
0.10400000000000001       1.2045251657268209E-8
0.106                     1.251670818240808E-8
0.108                     1.2996843615428133E-8
0.11                      1.3486446947953832E-8
0.112                     1.3985338546839515E-8
0.114                     1.4493123166708161E-8
0.116                     1.5010804910652227E-8
0.11800000000000001       1.5536800238819647E-8
0.12                      1.607329971301206E-8
0.122                     1.6617528653147402E-8
0.124                     1.717286523180663E-8
0.126                     1.7735342435231213E-8
0.128                     1.830952512154228E-8
0.13                      1.889025494234918E-8
0.132                     1.948327979648172E-8
0.134                     2.008225386028795E-8
0.136                     2.0694100892961967E-8
0.138                     2.1311295158857985E-8
0.14                      2.1941924529142324E-8
0.14200000000000002       2.257729570097549E-8
0.14400000000000002       2.3226642976737056E-8
0.146                     2.388012402971688E-8
0.148                     2.4548093584970124E-8
0.15                      2.5219587370506085E-8
0.152                     2.590604351202456E-8
0.154                     2.6595414398214955E-8
0.156                     2.730017346784606E-8
0.158                     2.8007240764993278E-8
0.16                      2.8730055169988512E-8
0.162                     2.9454577092702203E-8
0.164                     3.019509414148966E-8
0.166                     3.093672712930552E-8
0.168                     3.169473847937282E-8
0.17                      3.2453301909066576E-8
0.17200000000000001       NaN
0.17400000000000002       NaN
0.176                     NaN
0.178                     NaN
0.18                      NaN
0.182                     NaN
0.184                     NaN
0.186                     NaN
0.188                     NaN
0.19                      NaN
0.192                     NaN
0.194                     NaN
0.196                     NaN
0.198                     NaN
0.2                       NaN
0.202                     NaN
0.20400000000000001       NaN
0.20600000000000002       NaN
0.20800000000000002       NaN
0.21                      NaN
0.212                     NaN
0.214                     NaN
0.216                     NaN
0.218                     NaN
0.22                      NaN
0.222                     NaN
0.224                     NaN
0.226                     NaN
0.228                     NaN
0.23                      NaN
0.232                     NaN
0.234                     NaN
0.23600000000000002       NaN
0.23800000000000002       NaN
0.24                      NaN
0.242                     NaN
0.244                     NaN
0.246                     NaN
0.248                     NaN
0.25                      NaN
