% Model:              aplus_itmcp_2d.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jul 15 2024, 13:20
% Dimension:          1
% Nodes:              126
% Expressions:        1
% Description:        
% R                       8.6E-6[1/K] *( linproj_itm(T-293.15[K]) - intop_itm(linproj_itm(T-293.15[K])) ) (m)
0                         0
0.002                     1.0090270628008107E-10
0.004                     2.0432836917273278E-10
0.006                     5.070676044584747E-10
0.008                     8.148551473993836E-10
0.01                      1.31952668889181E-9
0.012                     1.8317769314346236E-9
0.014                     2.538547167604038E-9
0.016                     3.255434168911585E-9
0.018000000000000002      4.164539707843654E-9
0.02                      5.0863085473007425E-9
0.022                     6.198026894633142E-9
0.024                     7.324972243688941E-9
0.026000000000000002      8.639717280666626E-9
0.028                     9.972266957153304E-9
0.03                      1.1490493588519535E-8
0.032                     1.3029116820626168E-8
0.034                     1.4751309459396445E-8
0.036000000000000004      1.64965152380539E-8
0.038                     1.8423269120265806E-8
0.04                      2.0375668619474267E-8
0.042                     2.2507587437658625E-8
0.044                     2.466782062356061E-8
0.046                     2.700566211605501E-8
0.048                     2.9374510660029297E-8
0.05                      3.191906582905626E-8
0.052000000000000005      3.4497355249669465E-8
0.054                     3.724950581307322E-8
0.056                     4.003817039301806E-8
0.058                     4.2998972479513634E-8
0.06                      4.5999080525493086E-8
0.062                     4.916951439590273E-8
0.064                     5.238209676743855E-8
0.066                     5.5763273143479035E-8
0.068                     5.918947898720835E-8
0.07                      6.2782558740608E-8
0.07200000000000001       6.642363611072059E-8
0.074                     7.023003860506669E-8
0.076                     7.40874567235127E-8
0.078                     7.810866184564783E-8
0.08                      8.218365700583877E-8
0.082                     8.642002228019718E-8
0.084                     9.071731603019631E-8
0.08600000000000001       9.51692743722065E-8
0.088                     9.968974322263875E-8
0.09                      1.0435904524653977E-7
0.092                     1.0910463456172466E-7
0.094                     1.1399326254806682E-7
0.096                     1.1896608729232039E-7
0.098                     1.2407603247088683E-7
0.1                       1.2927815881538496E-7
0.10200000000000001       1.346112794483123E-7
0.10400000000000001       1.4004482014431392E-7
0.106                     1.456032736017006E-7
0.108                     1.5127065408164852E-7
0.11                      1.570568640407541E-7
0.112                     1.6296073873052981E-7
0.114                     1.6897727114115994E-7
0.116                     1.7512048423908588E-7
0.11800000000000001       1.8137010911434036E-7
0.12                      1.8775552948595314E-7
0.122                     1.9424087484545235E-7
0.124                     2.0087150644669197E-7
0.126                     2.0759553634619326E-7
0.128                     2.1447468512242865E-7
0.13                      2.21440595304295E-7
0.132                     2.2857176163755137E-7
0.134                     2.357828906247062E-7
0.136                     2.4316941522421965E-7
0.138                     2.506287964627128E-7
0.14                      2.5827374179320894E-7
0.14200000000000002       2.6598418033264733E-7
0.14400000000000002       2.7389100383649047E-7
0.146                     2.818559130340307E-7
0.148                     2.900279872457547E-7
0.15                      2.9825045294741526E-7
0.152                     3.0669030149003284E-7
0.154                     3.1517249733933044E-7
0.156                     3.238802385887708E-7
0.158                     3.326218116482325E-7
0.16                      3.415958620015401E-7
0.162                     3.5059512073610806E-7
0.164                     3.5983582076715647E-7
0.166                     3.690933655398198E-7
0.168                     3.7859501401976444E-7
0.17                      3.881048907145612E-7
0.17200000000000001       NaN
0.17400000000000002       NaN
0.176                     NaN
0.178                     NaN
0.18                      NaN
0.182                     NaN
0.184                     NaN
0.186                     NaN
0.188                     NaN
0.19                      NaN
0.192                     NaN
0.194                     NaN
0.196                     NaN
0.198                     NaN
0.2                       NaN
0.202                     NaN
0.20400000000000001       NaN
0.20600000000000002       NaN
0.20800000000000002       NaN
0.21                      NaN
0.212                     NaN
0.214                     NaN
0.216                     NaN
0.218                     NaN
0.22                      NaN
0.222                     NaN
0.224                     NaN
0.226                     NaN
0.228                     NaN
0.23                      NaN
0.232                     NaN
0.234                     NaN
0.23600000000000002       NaN
0.23800000000000002       NaN
0.24                      NaN
0.242                     NaN
0.244                     NaN
0.246                     NaN
0.248                     NaN
0.25                      NaN
